Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
1,92,65,9,65.5
1,64,43,7,64.5
1,82,61,9,70.5
1,79,61,9,67
1,102,65,10,53
1,79,59,9,70.5
1,87,61,8,60.5
1,85,62,8,62.5
1,83,59,9,59
1,61,38,7,58
1,70,52,9,66.5
1,83,48,8,54.5
1,64,41,8,62.5
1,74,56,8,68.5
1,63,32,7,46.5
1,72,26,6,41
1,72,26,6,41
1,63,36,10,50.5
1,68,47,12,58
1,85,54,8,57.5
1,93,65,9,65.5
1,86,63,9,72
1,68,49,7,61
1,79,27,7,33
1,70,56,8,69.5
1,66,41,8,64.5
1,69,32,7,43
1,77,58,8,72
1,80,60,13,67.5
1,82,54,8,57.5
1,67,56,8,86.5
1,75,60,8,75
1,76,50,12,58
1,70,49,9,64.5
1,82,60,9,67.5
1,76,32,7,47
1,73,52,13,59
1,63,38,6,58
1,70,59,7,78.5
1,80,41,5,41
1,78,41,7,49
1,72,52,13,64.5
1,78,57,10,66
1,77,56,8,65
1,76,59,9,75
1,87,64,9,65
1,87,63,9,66
1,87,64,9,70.5
1,83,59,9,67.5
1,86,61,9,61.5
1,76,57,8,69
1,66,46,7,58
1,93,54,8,46.5
1,74,58,7,71
1,85,36,12,30
1,77,57,9,69
1,77,60,5,73.5
1,89,59,8,60.5
1,86,57,8,60
1,89,57,10,58
1,77,49,9,54.5
1,82,61,9,67.5
1,81,61,10,70.5
1,90,58,10,59.5
1,77,59,9,69
1,64,50,9,66.5
1,79,56,9,66
1,69,51,6,64.5
1,72,53,10,69.5
1,90,55,10,51
1,72,49,9,62
1,88,56,8,55
1,63,46,9,70.5
1,71,54,9,71.5
1,60,36,6,59
1,81,63,9,72.5
1,70,54,9,70.5
1,84,63,8,74
1,96,64,7,60
1,88,64,10,67.5
1,78,54,8,62
